ticker,avg_sentiment_score,sentiment_std,mention_count,min_sentiment_score,max_sentiment_score,avg_confidence,avg_positive_score,avg_negative_score,avg_neutral_score,dominant_sentiment,date,returns
APPLE,-0.4584,,1,-0.4584,-0.4584,0.4584,0.1179,0.4584,0.4237,negative,2018-09-27,2.0551886113172824
APPLE,0.0,,1,0.0,0.0,0.9139,0.064,0.0221,0.9139,neutral,2018-10-01,0.6733627113193918
APPLE,0.7734,,1,0.7734,0.7734,0.7734,0.7734,0.0163,0.2103,positive,2018-10-04,-1.758087674016895
APPLE,0.0,,1,0.0,0.0,0.55,0.0463,0.4037,0.55,neutral,2018-10-08,-0.23184452974372993
APPLE,0.0,,1,0.0,0.0,0.8048,0.1804,0.0148,0.8048,neutral,2018-10-09,1.385355883567363
APPLE,0.0,,1,0.0,0.0,0.9123,0.0757,0.0119,0.9123,neutral,2018-10-10,-4.632600331664372
APPLE,0.4668,0.6601,2,0.0,0.9335,0.7871,0.6418,0.0224,0.3359,neutral,2018-10-11,-0.8827784913729819
APPLE,0.0,,1,0.0,0.0,0.9238,0.0547,0.0215,0.9238,neutral,2018-10-18,-2.337365805887659
APPLE,0.0,,1,0.0,0.0,0.5408,0.0472,0.4121,0.5408,neutral,2018-10-19,1.522998093422312
APPLE,0.0,,1,0.0,0.0,0.5971,0.3827,0.0201,0.5971,neutral,2018-10-23,0.9426548532160517
APPLE,-0.4736,0.6697,2,-0.9472,0.0,0.8886,0.0191,0.5447,0.4363,negative,2018-10-24,-3.4301259444970533
APPLE,0.0,,1,0.0,0.0,0.8155,0.0948,0.0897,0.8155,neutral,2018-10-26,-1.5923549396123837
APPLE,0.3789,0.5359,2,0.0,0.7579,0.8275,0.4244,0.0158,0.5598,neutral,2018-10-30,0.4994449769121889
APPLE,-0.1938,0.6912,3,-0.9612,0.3798,0.7622,0.1432,0.4145,0.4423,negative,2018-11-01,1.5352635451339358
APPLE,-0.4523,0.6994,7,-0.967,0.9242,0.8481,0.1967,0.5904,0.2129,negative,2018-11-02,-6.633085674967509
APPLE,-0.8064,,1,-0.8064,-0.8064,0.8064,0.095,0.8064,0.0986,negative,2018-11-05,-2.8388285205083963
APPLE,-0.643,0.5568,3,-0.9656,0.0,0.9331,0.0471,0.6471,0.3058,negative,2018-11-06,1.0814052690005793
APPLE,-0.5619,0.4996,3,-0.956,0.0,0.8554,0.0239,0.5913,0.3848,negative,2018-11-07,3.03285081771163
APPLE,0.8194,,1,0.8194,0.8194,0.8194,0.8194,0.0165,0.1641,positive,2018-11-09,-1.928166334163206
APPLE,-0.3195,0.5534,3,-0.9585,0.0,0.8918,0.0292,0.3876,0.5832,neutral,2018-11-12,-5.0374285595552015
APPLE,-0.957,0.0143,2,-0.9671,-0.9468,0.957,0.0185,0.957,0.0245,negative,2018-11-13,-0.9991350963056811
APPLE,0.0,0.0,3,0.0,0.0,0.676,0.1219,0.2021,0.676,neutral,2018-11-14,-2.824722722817563
APPLE,-0.4856,0.6867,2,-0.9711,0.0,0.9005,0.0836,0.4915,0.4248,negative,2018-11-15,2.4678841201190016
APPLE,-0.8369,,1,-0.8369,-0.8369,0.8369,0.0435,0.8369,0.1196,negative,2018-11-16,1.1075695969787747
APPLE,-0.7055,0.4707,4,-0.9646,0.0,0.9091,0.0269,0.7387,0.2344,negative,2018-11-19,-3.9632243767157016
APPLE,0.0,,1,0.0,0.0,0.6465,0.0493,0.3042,0.6465,neutral,2018-11-20,-4.777808658891869
APPLE,0.8548,,1,0.8548,0.8548,0.8548,0.8548,0.078,0.0672,positive,2018-11-21,-0.11297257840003905
APPLE,0.5183,,1,0.5183,0.5183,0.5183,0.5183,0.0556,0.4262,positive,2018-11-26,1.3523841268573866
APPLE,-0.0839,0.7576,3,-0.8799,0.6283,0.7894,0.2521,0.316,0.4319,negative,2018-11-27,-0.21759564705875478
APPLE,0.1018,0.9027,2,-0.5365,0.74,0.6383,0.5752,0.2733,0.1515,negative,2018-11-28,3.845266985042972
APPLE,0.7617,,1,0.7617,0.7617,0.7617,0.7617,0.0564,0.182,positive,2018-11-29,-0.7682194385098429
APPLE,0.7158,,1,0.7158,0.7158,0.7158,0.7158,0.1034,0.1808,positive,2018-11-30,-0.5402407139681542
APPLE,0.4198,,1,0.4198,0.4198,0.4198,0.4198,0.1718,0.4084,positive,2018-12-03,3.4942297008896173
APPLE,0.0,,1,0.0,0.0,0.9309,0.0486,0.0205,0.9309,neutral,2018-12-04,-4.398889380253845
APPLE,0.0,,1,0.0,0.0,0.5279,0.0543,0.4178,0.5279,neutral,2018-12-06,-1.1149386958839491
APPLE,0.0,,1,0.0,0.0,0.8785,0.108,0.0136,0.8785,neutral,2018-12-07,-3.5656821036595843
APPLE,0.0,,1,0.0,0.0,0.9191,0.0617,0.0193,0.9191,neutral,2018-12-10,0.6587714573157433
APPLE,-0.8587,,1,-0.8587,-0.8587,0.8587,0.0137,0.8587,0.1276,negative,2018-12-11,-0.5719353066423238
APPLE,-0.3442,0.4867,2,-0.6884,0.0,0.6741,0.1883,0.3497,0.462,negative,2018-12-13,1.0940173630494376
APPLE,-0.8945,,1,-0.8945,-0.8945,0.8945,0.0426,0.8945,0.0629,negative,2018-12-14,-3.199727052259116
APPLE,-0.4672,0.6607,2,-0.9343,0.0,0.8665,0.0301,0.5509,0.419,negative,2018-12-17,-0.9306541144282421
APPLE,-0.4405,0.6229,2,-0.8809,0.0,0.873,0.028,0.492,0.48,negative,2018-12-20,-2.5234949032262644
APPLE,0.0,,1,0.0,0.0,0.8529,0.138,0.0092,0.8529,neutral,2018-12-27,-0.6489527592299482
