ticker,avg_sentiment_score,sentiment_std,mention_count,min_sentiment_score,max_sentiment_score,avg_confidence,avg_positive_score,avg_negative_score,avg_neutral_score,dominant_sentiment,date,returns
TESLA,0.0,0.0,2,0.0,0.0,0.9415,0.0385,0.02,0.9415,neutral,2018-08-15,-2.574509095993638
TESLA,0.2888,0.398,5,0.0,0.786,0.7472,0.3198,0.1146,0.5656,neutral,2018-08-16,-0.95662528859215
TESLA,-0.2308,0.3997,3,-0.6923,0.0,0.6239,0.1768,0.3409,0.4823,neutral,2018-08-17,-8.928302310985059
TESLA,-0.8904,,1,-0.8904,-0.8904,0.8904,0.039,0.8904,0.0706,negative,2018-08-20,0.9623619556435647
TESLA,-0.3124,0.5411,3,-0.9372,0.0,0.9329,0.0216,0.3402,0.6383,neutral,2018-08-21,4.363885291946024
TESLA,0.1977,0.3424,3,0.0,0.5931,0.7185,0.2412,0.1167,0.642,neutral,2018-08-22,-0.08076457486387856
TESLA,0.8895,,1,0.8895,0.8895,0.8895,0.8895,0.0152,0.0953,positive,2018-08-23,-0.4787970396720964
TESLA,-0.915,0.0755,4,-0.956,-0.8019,0.915,0.0201,0.915,0.0649,negative,2018-08-27,-1.0996885063753514
TESLA,-0.3864,0.5465,2,-0.7729,0.0,0.7325,0.2046,0.4083,0.3871,negative,2018-08-28,-2.320917226401842
TESLA,-0.5057,0.4433,3,-0.8273,0.0,0.8022,0.0282,0.5264,0.4455,negative,2018-08-30,-0.6098187840544389
TESLA,0.0,,1,0.0,0.0,0.888,0.0954,0.0166,0.888,neutral,2018-08-31,-0.4915032852453649
TESLA,0.0,0.0,2,0.0,0.0,0.6797,0.2563,0.0641,0.6797,neutral,2018-09-04,-4.213355721254075
TESLA,-0.4668,0.6601,2,-0.9336,0.0,0.9181,0.0231,0.5012,0.4757,negative,2018-09-06,0.0748019836589231
TESLA,-0.8577,0.1326,2,-0.9515,-0.7639,0.8577,0.011,0.8577,0.1313,negative,2018-09-07,-6.303609176210712
TESLA,-0.9304,,1,-0.9304,-0.9304,0.9304,0.014,0.9304,0.0556,negative,2018-09-10,8.456157301917578
